id;name;energia, laskennallinen (kJ);hiilihydraatti imeytyvä (g);rasva (g);proteiini (g);alkoholi (g);kuitu, kokonais- (g);orgaaniset hapot (g);sokerialkoholi (g);tärkkelys (g);sokerit (g);fruktoosi (g);galaktoosi (g);glukoosi (g);laktoosi (g);maltoosi (g);sakkaroosi (g);polysakkaridi, vesiliukoinen ei-selluloosa (g);kuitu veteen liukenematon (g);rasvahapot yhteensä (g);rasvahapot monityydyttymättömät (g);rasvahapot yksittäistyydyttymättömät cis (g);rasvahapot tyydyttyneet (g);rasvahapot trans (g);rasvahapot n-3 monityydyttymättömät (g);rasvahapot n-6 monityydyttymättömät (g);rasvahappo 18:2 cis,cis n-6 (linolihappo) (mg);rasvahappo 18:3 n-3 (alfalinoleenihappo) (mg);rasvahappo 20:5 n-3 (EPA) (mg);rasvahappo 22:6 n-3 (DHA) (mg);kolesteroli (GC) (mg);sterolit (mg);kalsium (mg);rauta (mg);jodidi (jodi) (µg);kalium (mg);magnesium (mg);natrium (mg);suola (mg);fosfori (mg);seleeni (µg);sinkki (mg);tryptofaani (mg);folaatti, kokonais- (µg);niasiiniekvivalentti NE (mg);niasiini (nikotiinihappo + nikotiiniamidi) (mg);pyridoksiini vitameerit (vetykloridi) (B6) (mg);riboflaviini (B2) (mg);tiamiini (B1) (mg);B12-vitamiini (kobalamiini) (µg);C-vitamiini (mg);A-vitamiini RAE (µg);karotenoidit (µg);D-vitamiini (µg);E-vitamiini alfatokoferoli (mg);K-vitamiini (µg)
32106;Hampurilainen, kanahampurilainen, mcdonald's;1130;29.4;12.6;11.1;0;1.5;<0.1;0;28.4;1.0;<0.1;<0.1;<0.1;<0.1;0.3;0.6;0.3;1.1;11.7;5.1;4.6;2.0;<0.1;0.9;4.2;4210;861;4;3;41.1;55.5;34.2;0.7;13.0;215.1;22.7;344.4;877.4;107.1;13.1;0.7;121.5;17.5;3.9;2.7;0.20;0.08;0.07;0.3;0.6;20.6;86.6;<0.1;3.1;23.47
30169;Hampurilainen, kanahampurilainen, rouhesämpylä;978;22.5;10.8;10.3;0;1.8;0.3;0;21.1;1.4;0.2;<0.1;0.2;0.3;0.3;0.5;0.4;1.4;9.9;4.0;3.3;2.6;<0.1;0.6;3.4;3326;601;3;7;67.1;39.3;26.2;0.9;25.9;276.7;25.4;466.0;1187.4;132.2;13.1;1.2;124.3;23.1;3.5;2.0;0.14;0.15;0.08;0.4;1.2;47.2;154.2;0.3;2.7;19.44
7071;Hampurilainen, kanahampurilainen, vehnäsämpylä;1101;20.5;16.8;8.9;0;1.1;0.3;0;19.2;1.3;0.1;<0.1;0.1;0.2;0.2;0.5;0.3;0.8;15.5;7.4;4.9;3.1;<0.1;1.2;6.3;6238;1145;2;6;87.6;50.8;24.2;0.6;26.1;231.8;18.0;335.1;853.7;107.1;13.5;0.9;105.0;18.2;2.8;1.5;0.12;0.12;0.05;0.5;0.9;59.9;132.0;0.3;4.8;30.90
30170;Hampurilainen, kasvishampurilainen, rouhesämpylä;823;23.0;8.5;5.5;0;2.6;0.2;0;20.4;2.5;0.7;0;0.7;0;0.2;0.8;0.7;1.7;7.7;3.2;2.5;1.9;<0.1;0.5;2.7;2670;467;0;0;28.3;45.2;26.5;1.0;16.6;301.6;29.9;404.4;1030.5;97.0;5.0;0.6;62.0;25.6;1.7;0.8;0.09;0.07;0.07;0.1;6.3;117.5;1562.3;<0.1;2.3;21.82
29074;Hampurilainen, kasvishampurilainen, vehnäsämpylä;899;19.3;13.6;4.5;0;1.8;0.2;0;15.9;3.4;0.9;<0.1;0.9;<0.1;0.2;1.4;0.5;1.1;12.4;5.8;4.4;2.3;<0.1;1.0;4.8;4786;952;0;0;43.3;58.1;25.2;0.7;18.4;280.3;22.4;350.3;892.6;75.7;5.6;0.4;48.9;19.8;1.2;0.5;0.08;0.06;0.06;0.2;6.5;139.8;2429.8;<0.1;4.0;30.41
7070;Hampurilainen, kerroshampurilainen;1149;13.2;18.6;15.0;0;0.7;<0.1;0;12.6;0.6;<0.1;<0.1;<0.1;<0.1;0.2;0.4;0.2;0.5;17.0;6.2;6.6;4.0;0.2;1.1;5.1;5083;1055;0;0;68.8;50.0;14.7;2.1;27.5;302.8;23.2;411.9;1049.4;161.9;14.1;2.6;189.8;9.5;5.6;3.7;0.29;0.12;0.06;0.8;0.5;39.9;92.7;0.3;4.0;25.18
32107;Hampurilainen, kerroshampurilainen, big mac, mcdonald's;1016;18.1;13.4;13.3;0;1.8;0.1;0;16.4;1.7;0.4;<0.1;0.4;0.2;0.2;0.6;0.4;0.8;12.4;2.2;5.1;4.8;0.2;0.4;1.8;1786;392;0;<1;40.1;27.1;69.1;1.3;22.7;254.3;21.9;383.0;975.8;147.0;12.0;3.0;157.9;19.6;4.4;2.6;0.27;0.12;0.05;0.7;2.1;34.3;103.8;0.1;1.6;13.01
34396;Hampurilainen, kerroshampurilainen, hesburger;1087;17.3;16.5;11.8;0;1.1;0.2;0;15.8;1.6;0.3;<0.1;0.3;<0.1;0.2;0.7;0.3;0.8;15.5;2.8;7.6;4.9;0.2;0.8;1.9;1828;829;0;<1;28.1;60.7;88.7;1.1;21.6;208.5;18.9;403.9;1029.1;126.7;9.3;2.6;141.0;17.2;3.8;2.1;0.20;0.11;0.05;0.5;1.9;54.9;765.6;0.1;1.8;17.36
34981;Hampurilainen, lohihampurilainen;1113;14.4;19.1;10.3;0;1.3;0.1;0;13.6;0.9;0.2;<0.1;0.1;<0.1;0.2;0.4;0.3;0.7;17.4;7.3;6.0;4.0;0.1;2.2;5.1;4987;981;234;680;67.6;43.3;78.8;0.4;41.3;232.6;20.4;337.3;859.4;146.7;13.5;0.7;128.6;16.9;4.1;2.5;0.29;0.10;0.08;1.3;2.1;54.8;402.7;2.5;4.5;24.31
34397;Hampurilainen, mcfeast, mcdonald's;886;15.3;11.3;13.1;0;1.1;0.1;0;13.4;1.9;0.5;<0.1;0.4;0.1;0.2;0.8;0.3;0.7;10.4;0.8;4.5;4.8;0.2;0.2;0.6;584;184;0;2;29.7;18.6;76.0;1.3;21.4;245.6;21.0;383.1;976.3;147.6;12.0;3.0;155.8;16.7;4.4;2.6;0.24;0.12;0.06;0.6;2.6;52.6;847.7;0.2;0.8;8.36
30168;Hampurilainen, naudanlihapihvi ja rouhesämpylä;987;14.7;13.5;13.2;0;1.4;0.2;0;13.6;1.2;0.4;<0.1;0.3;<0.1;0.2;0.4;0.3;1.0;12.2;3.3;4.6;4.1;0.2;0.6;2.7;2642;577;0;0;45.2;36.4;74.7;1.8;23.2;280.1;25.7;454.1;1156.9;169.1;10.5;2.3;170.3;16.0;4.8;2.9;0.24;0.13;0.07;0.6;2.5;50.2;548.4;0.2;2.2;14.95
29279;Hampurilainen, naudanlihapihvi ja vehnäsämpylä;779;22.3;6.4;11.2;0;1.4;0.1;0;19.2;3.1;0.7;<0.1;0.7;<0.1;0.2;1.5;0.4;1.0;5.6;1.0;2.7;1.8;0.1;0.2;0.8;763;225;0;0;19.4;28.6;17.0;1.6;22.8;268.9;21.1;418.6;1066.7;120.8;8.6;1.7;139.2;10.0;4.0;2.5;0.22;0.10;0.07;0.4;2.5;57.9;1696.6;0.2;0.9;6.23
34474;Hampurilainen, nyhtöpossu ja rouhesämpylä;784;17.1;9.8;6.6;0;1.6;0.3;0;13.7;3.4;1.1;0;1.0;<0.1;0.2;1.0;0.3;1.1;9.1;3.0;3.0;2.9;0.1;0.5;2.5;2433;469;0;0;29.7;29.9;76.3;0.7;15.1;175.3;19.1;365.8;931.9;102.3;6.2;1.0;79.8;17.1;2.0;1.2;0.11;0.08;0.10;0.2;4.2;42.5;1377.1;<0.1;1.9;12.38
34402;Hampurilainen, pekonihampurilainen, hesburger;1070;15.8;16.7;11.9;0;1.1;0.1;0;14.6;1.2;0.4;<0.1;0.3;0.1;0.2;0.3;0.3;0.7;15.5;2.5;7.4;5.4;0.2;0.7;1.8;1758;645;0;<1;31.0;46.5;81.6;1.1;15.6;210.3;19.2;439.0;1118.6;140.8;10.6;2.2;138.3;14.7;3.7;2.1;0.20;0.11;0.06;0.5;2.3;38.1;455.3;0.2;1.4;13.36
7107;Hampurilainen, ruishampurilainen, naudanliha;763;13.9;9.6;8.7;0;2.9;0.2;0;11.3;2.6;0.6;0;0.5;0.2;<0.1;1.3;0.5;1.9;8.8;1.8;4.0;2.9;0.1;0.4;1.3;1282;413;0;14;29.4;45.7;87.1;1.3;22.1;270.9;27.2;281.0;716.0;160.0;9.6;1.7;117.3;23.8;2.9;1.4;0.18;0.12;0.07;0.6;4.0;66.1;791.7;0.3;1.5;11.44
30171;Hampurilainen, ruishampurilainen, porsaan ulkofilee;847;14.6;10.2;11.3;0;3.3;0.1;0;12.9;1.7;0.5;<0.1;0.4;<0.1;<0.1;0.6;0.5;2.2;9.4;4.3;3.2;1.8;<0.1;0.7;3.4;3414;664;0;1;48.3;41.7;20.0;0.9;21.1;302.4;30.0;390.9;996.1;136.1;11.7;1.3;132.1;16.9;3.8;1.6;0.25;0.15;0.44;0.3;3.6;32.1;679.4;0.2;2.8;17.49
31364;Hampurilainen, sika-nautapihvi ja vehnäsämpylä;904;22.3;10.5;9.5;0;1.4;0.1;0;19.2;3.1;0.7;<0.1;0.7;<0.1;0.2;1.5;0.4;1.0;9.8;1.4;4.6;3.7;<0.1;0.2;1.1;1076;250;0;0;21.3;27.1;17.7;0.8;22.0;199.2;17.0;409.3;1042.8;87.4;9.7;1.5;116.9;10.1;3.9;2.1;0.19;0.09;0.10;0.3;2.5;60.7;1690.5;0.2;0.9;5.42
32094;Hampurilainen, tavallinen, hesburger;1046;20.0;14.1;12.2;0;1.2;<0.1;0;16.5;3.4;0.7;<0.1;0.8;<0.1;0.2;1.7;0.3;0.9;13.2;2.2;6.9;4.0;0.1;0.6;1.5;1525;639;0;<1;26.0;47.3;20.6;1.4;24.1;216.6;20.8;517.9;1319.5;109.1;12.6;2.9;137.5;9.5;4.1;2.7;0.24;0.09;0.06;0.5;1.6;51.5;1439.6;0.1;1.6;9.89
32103;Hampurilainen, tavallinen, mcdonald's;981;25.4;9.3;13.5;0;2.0;0.1;0;21.6;3.7;0.8;<0.1;0.9;<0.1;0.3;1.8;0.4;1.1;8.6;0.7;4.1;3.6;0.1;0.1;0.6;559;140;0;0;25.5;20.3;23.1;1.6;24.9;256.0;23.6;473.5;1206.5;124.4;12.9;2.9;153.6;13.5;4.5;2.9;0.29;0.10;0.07;0.5;1.8;52.5;1499.6;0.1;0.7;3.20
34395;Hampurilainen, tuplajuustohampurilainen, mcdonald's;1120;16.3;15.1;17.6;0;1.3;0.2;0;13.8;2.5;0.5;<0.1;0.5;0.2;0.2;1.1;0.3;0.7;13.8;0.7;5.6;7.0;0.3;0.1;0.5;472;144;0;0;42.6;13.0;129.9;1.6;27.5;257.6;24.3;551.3;1404.6;210.6;15.5;3.9;211.5;12.4;5.7;3.3;0.32;0.17;0.07;0.9;1.1;77.1;944.1;0.2;0.7;3.13
34399;Hampurilainen, tupla whopper, burger king;996;11.5;14.2;17.0;0;0.8;<0.1;0;10.3;1.2;0.3;<0.1;0.3;<0.1;0.1;0.4;0.2;0.5;13.2;1.0;6.5;5.5;0.2;0.2;0.7;672;243;0;<1;41.8;19.9;17.6;1.9;24.0;295.9;21.6;384.5;979.7;143.7;14.7;4.3;199.5;11.4;6.1;4.2;0.36;0.11;0.06;0.9;2.0;30.2;635.3;0.2;0.8;7.38
32109;Hampurilainen, valmishampurilainen, burgeri, atria, pihvi ja sämpylä;1078;29.9;9.7;11.7;0;1.7;<0.1;0;28.9;1.0;<0.1;0;<0.1;0;0.3;0.6;0.4;1.2;9.0;2.0;4.3;2.6;<0.1;0.4;1.6;1596;340;7;5;18.5;41.0;27.0;1.1;5.5;257.8;32.8;400.2;1019.8;133.5;7.7;1.0;126.8;27.5;4.1;2.0;0.17;0.08;0.12;0.2;0;8.0;2.8;<0.1;0.8;11.11
32112;Hampurilainen, valmishampurilainen, hk burgeri, pihvi ja sämpylä;1059;32.3;7.8;12.3;0;1.6;0;0;30.4;2.0;<0.1;0;0.5;0;0.4;1.1;0.5;1.2;7.2;1.6;3.4;2.2;<0.1;0.2;1.3;1261;231;2;4;21.4;33.6;17.8;1.0;6.6;256.2;31.5;449.1;1144.2;130.8;8.9;0.9;140.1;26.0;4.3;2.0;0.16;0.10;0.17;0.2;0;5.9;1.7;0.1;0.6;8.66
33035;Hampurilainen, valmishampurilainen, juustohampurilainen, mcennedy, lidl;1298;25.6;16.4;13.0;0;1.3;0.2;0;23.9;1.7;<0.1;0;0.7;0.2;0.3;0.5;0.3;0.9;15.5;2.2;6.5;6.5;0.2;0.3;1.8;1775;295;3;3;22.3;30.1;108.6;0.6;6.7;164.3;21.2;510.7;1301.4;148.8;9.4;1.3;130.0;21.3;3.9;1.7;0.16;0.14;0.23;0.4;0.2;29.9;15.6;0.1;0.7;3.89
32111;Hampurilainen, valmishampurilainen, pihvihampurilainen ja kastike, saarioinen;1078;24.4;13.0;10.0;0;1.5;0.1;0;22.3;2.0;<0.1;0;0.6;0.1;0.3;1.0;0.3;1.1;12.1;3.7;5.2;3.2;<0.1;0.6;3.0;3014;625;0;<1;34.6;42.4;26.3;1.1;8.5;194.6;22.0;424.9;1082.5;105.4;10.2;2.2;115.0;21.6;4.0;2.1;0.19;0.08;0.09;0.5;1.1;18.7;46.7;<0.1;2.2;11.90
33034;Hampurilainen, valmishampurilainen, pihvi ja sämpylä, mcennedy, lidl;1233;29.8;14.6;10.1;0;1.4;<0.1;0;27.8;2.0;<0.1;0;0.3;0.3;0.3;1.1;0.4;1.0;13.8;2.9;6.7;4.1;<0.1;0.6;2.3;2221;576;8;6;22.2;48.7;21.4;0.7;28.5;177.5;20.6;723.9;1844.5;113.8;8.4;1.0;116.6;21.5;4.2;2.3;0.19;0.12;0.20;0.3;0.2;7.5;2.2;0.1;1.2;13.58
34398;Hampurilainen, whopper, burger king;912;16.1;12.0;12.4;0;1.1;0.1;0;14.2;1.9;0.5;<0.1;0.5;<0.1;0.2;0.7;0.3;0.7;11.2;1.4;5.6;4.0;0.1;0.4;1.0;955;376;0;<1;29.8;32.5;19.2;1.3;21.7;251.2;19.2;357.5;911.0;109.2;11.0;3.0;143.7;14.3;4.3;2.9;0.26;0.09;0.06;0.6;3.1;39.6;1117.0;0.1;1.1;10.05
35018;Hampurilainen, vuohenjuustohampurilainen, rouhesämpylä;1156;17.8;17.8;10.6;0;1.6;<0.1;0;16.1;1.6;0.4;<0.1;0.3;0.4;0.2;0.3;0.3;1.2;17.2;3.6;4.7;8.3;0.5;0.6;3.0;3006;555;0;0;48.6;36.6;114.3;1.1;10.2;168.0;25.3;441.0;1123.7;183.2;5.1;0.6;107.7;36.6;2.3;1.0;0.07;0.28;0.07;0.2;2.6;168.5;652.6;0.3;2.3;15.02
33315;Hapanimeläbroileri jasmiiniriisillä, kitchen joy thai-cube, valmisateria;594;24.1;1.9;5.7;0;1.7;0.3;0;18.8;5.3;0.4;0;0.6;0;<0.1;4.3;<0.1;0.5;1.7;0.3;0.7;0.7;<0.1;<0.1;0.3;249;16;4;3;13.4;9.8;8.8;0.5;10.4;167.0;14.6;278.9;710.8;62.0;8.0;0.4;71.8;7.2;2.7;2.2;0.16;0.06;0.05;0.2;1.5;37.1;1450.8;<0.1;0.5;4.38
3204;Hapankaali;119;4.4;0.2;1.1;0;2.1;0.2;0;<0.1;4.4;1.9;0;1.8;0;0;0.7;0.9;1.1;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;43;0;0;0;14.8;39.2;0.4;22.7;300.8;13.3;341.8;870.9;37.5;1.3;0.2;18.8;26.8;0.7;0.4;0.14;0.05;0.06;0;33.2;31.9;589.7;0;<0.1;34.00
33016;Hapankaalikeitto, keskirasvainen sianliha;237;2.7;3.8;2.5;0;1.0;<0.1;0;1.0;1.7;0.6;0;0.6;0;0;0.5;0.3;0.5;3.6;0.7;1.7;1.1;<0.1;0.1;0.6;566;131;<1;2;6.0;12.9;17.0;0.4;7.2;178.1;8.6;211.7;539.3;40.2;2.3;0.4;30.8;10.8;0.9;0.8;0.10;0.04;0.08;<0.1;9.3;65.0;1158.9;<0.1;0.3;18.10
29772;Hapankorppu;1456;56.3;2.8;12.5;0;23.0;0;0;53.8;2.4;0.3;0;0.7;0;0.5;1.0;2.5;12.8;2.2;1.4;0.4;0.4;0;0.2;1.2;1202;183;0;0;0;106.0;42.6;5.5;41.2;639.7;168.3;552.1;1406.7;482.1;5.6;4.8;124.1;52.5;2.3;0.4;0.20;0.20;0.30;0;0;0.6;244.2;0;1.1;6.56
32534;Hapankorppu, kaurakorppu, oululainen, fazer;1711;63.1;8.1;13.0;0;15.0;0;0;59.0;4.1;0.2;0;0.2;0;<0.1;3.6;1.1;5.7;7.4;2.9;3.8;0.7;0;0.7;2.2;2217;668;0;0;0.3;85.4;29.6;3.2;45.5;309.4;86.8;550.5;1402.7;269.7;7.3;2.3;125.4;35.1;2.8;0.9;0.11;0.10;0.25;0;0;0.2;169.7;0;1.5;9.87
11072;Hapankurkku liemineen, venäläinen kurkku;43;1.3;0.1;0.6;0;0.6;0.2;0;0;1.3;0.6;0;0.6;0;0;0;0.4;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;13;24;0;0;0;7.0;20.3;0.2;1.1;200.7;12.1;1163.2;2963.9;28.5;0.5;<0.1;9.0;8.7;0.3;0.2;0.04;0.08;0.04;0;7.2;10.1;551.1;0;<0.1;13.50
3015;Hapanlohko, nauris, peruna, kerma, ruisjauhot;188;5.7;1.5;1.1;0;1.4;0.3;0;3.1;2.6;0.8;0;1.2;0.3;<0.1;0.3;0.5;1.0;1.3;0.1;0.3;0.9;<0.1;<0.1;<0.1;47;51;0;0;2.9;9.5;29.4;0.3;14.0;253.6;16.8;198.2;504.9;46.1;0.5;0.2;14.5;9.5;0.8;0.8;0.07;0.04;0.06;<0.1;15.8;13.7;59.1;<0.1;<0.1;1.65
34846;Hasselpähkinäjuoma, vitaminoitu, alpro;118;3.1;1.5;0.3;0;0.4;0;0;0;3.1;<0.1;0;<0.1;0;0;3.1;<0.1;0.1;1.4;0.2;1.2;0.1;0;<0.1;0.2;151;1;0;0;0;2.9;120.0;<0.1;0.4;16.4;4.0;49.9;127.0;7.8;0.1;<0.1;5.0;1.8;0.1;<0.1;0.01;0.21;0.01;0.4;0;<0.1;2.7;0.8;1.8;0.35
813;Hauki;339;0;0.4;19.0;0;0;0;0;0;0;0;N/A;0;0;0;0;0;0;0.3;<0.1;<0.1;0.1;<0.1;<0.1;<0.1;11;8;18;30;63.0;0.3;50.0;0.3;46.7;340.0;28.0;23.4;59.6;240.0;22.0;1.1;240.0;6.0;8.0;4.0;0.21;0.07;0.07;2.0;0;6.0;0;2.1;0.9;0.80
8010;Hauki, leivitetty, paistettu;732;8.3;7.1;19.1;0;0.4;<0.1;0;8.1;0.2;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0.3;6.6;1.9;3.2;1.4;<0.1;0.5;1.4;1326;464;16;34;83.1;33.9;52.4;0.5;59.8;330.7;29.4;259.7;661.7;242.9;23.0;1.2;242.9;9.7;6.6;3.7;0.21;0.08;0.06;1.7;<0.1;43.9;53.9;2.3;2.0;7.12
32231;Hauki, paistettu voissa, ei korppujauhoja;619;<0.1;7.4;20.3;0;0;0;0;0;<0.1;0;0;0;<0.1;0;0;0;0;6.9;0.3;1.8;4.6;0.2;0.1;0.1;100;39;19;32;82.2;0.3;56.8;0.3;76.6;363.6;30.4;487.0;1240.8;259.0;23.5;1.2;255.8;4.7;7.2;4.3;0.22;0.07;0.05;1.8;0;65.8;38.9;2.2;1.1;2.42
33144;Hedelmä, friteerattu, uppopaistettu;759;17.0;10.8;3.2;0;1.5;0.3;0;9.1;7.9;1.6;0;1.5;0.5;0.1;4.3;0.5;1.0;10.1;3.5;5.7;1.0;<0.1;0.9;2.5;2517;916;0;10;34.9;72.7;46.8;0.6;16.6;176.4;15.4;184.2;469.4;69.0;4.7;0.3;43.1;10.1;1.0;0.4;0.14;0.08;0.04;0.2;5.3;26.0;114.1;0.3;2.5;13.36
11553;Hedelmähillo, keskiarvo;600;33.1;0.2;0.7;0;1.8;0.3;0;0.9;32.2;2.2;0;2.1;0;0;27.9;0.6;1.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;34;11;0;0;0;10.2;10.7;0.4;2.0;163.9;11.0;1.8;4.5;13.0;0.6;0.1;5.1;4.2;0.5;0.4;0.11;0.04;0.02;0;6.1;15.0;253.9;0;0.4;1.37
4018;Hedelmähyytelö, hyytelösokeri;344;18.6;0.2;0.5;0;1.1;0.4;0;0.9;17.7;3.7;0;3.1;0;0;10.9;0.5;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;22;11;0;0;<0.1;12.2;13.8;0.4;1.1;153.0;10.2;2.8;7.1;14.0;0.2;<0.1;5.1;7.8;0.3;0.2;0.13;0.03;0.04;0;16.1;2.4;62.8;0;0.2;3.27
32894;Hedelmäjuoma, hyvää päivää, fruktoosi, vitaminoitu;142;7.2;<0.1;0.2;0;1.4;0.2;0;0.3;6.9;4.9;0;0.8;0;0;1.3;0.1;0.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;12;4;0;0;<0.1;3.4;50.0;0.1;0.5;55.1;3.7;1.3;3.4;4.8;0.2;<0.1;1.9;2.4;0.1;0.1;0.03;<0.01;<0.01;0;36.0;120.0;1465.4;0;2.0;0.33
32892;Hedelmäjuoma, hyvää päivää, karpalo, osittain keinotekoisesti makeutettu;61;2.9;<0.1;<0.1;0;1.0;<0.1;0;0.1;2.8;2.1;0;0.4;0;<0.1;0.2;0;0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;10;10;0;0;<0.1;1.9;4.3;<0.1;0.2;14.3;1.0;1.2;3.1;1.6;<0.1;<0.1;0.9;1.3;<0.1;<0.1;<0.01;<0.01;<0.01;0;2.6;<0.1;4.5;0;<0.1;0.55
32893;Hedelmäjuoma, hyvää päivää, sitrus, osittain keinotek. makeutettu, vitaminoitu;41;2.2;<0.1;<0.1;0;<0.1;<0.1;0;<0.1;2.2;1.4;0;0.4;0;0;0.4;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;3;2;0;0;<0.1;1.0;5.6;<0.1;0.2;24.8;1.4;1.8;4.7;2.2;<0.1;<0.1;1.0;1.8;<0.1;<0.1;<0.01;<0.01;<0.01;0;20.0;0.6;19.8;0;<0.1;0.60
32417;Hedelmäjuoma, mango, proviva, probiootteja;194;10.7;0.1;0.3;0;0.3;<0.1;0;1.1;9.5;0.3;0;0.4;0;<0.1;8.8;<0.1;0.1;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;45;2;0;0;0;1.8;3.9;0.1;0.8;25.2;3.5;1.1;2.9;9.5;0.3;<0.1;3.8;1.1;0.1;<0.1;0.01;<0.01;<0.01;0;35.0;0.3;20.7;0;<0.1;0.68
34929;Hedelmäjuoma, mehu-maitojuoma, rasvaton, gefilus, vitaminoitu, laktoositon;181;9.6;<0.1;0.8;0;<0.1;0.2;0;0;9.2;0.9;0.3;1.1;0;0;6.8;0;0;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;7;5;0;0;0.2;2.3;29.6;0.1;3.6;76.6;5.9;11.2;28.6;22.8;0.7;0.1;11.4;6.2;0.3;0.2;0.03;0.04;0.03;<0.1;40.0;0.9;16.0;1.0;<0.1;0.09
69;Hedelmäpastilli, arabikumipastilli;1086;60.6;0.2;0;0;6.0;N/A;0;1.9;58.7;0;N/A;6.3;0;6.0;46.4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;5.0;0.1;12.0;8.0;1.0;100.0;254.8;4.0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0
4016;Hedelmäsalaatti, appelsiini, banaani, omena, persikka;237;12.2;0.2;0.5;0;1.3;0.4;0;0.6;11.6;3.2;0;3.3;0;0;5.1;0.6;0.8;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;22;16;0;0;<0.1;13.1;18.7;0.3;0.8;142.9;11.2;2.1;5.5;15.4;0.2;0.1;5.2;10.3;0.4;0.4;0.11;0.03;0.04;0;16.8;5.0;104.6;0;0.5;1.79
4015;Hedelmäsalaatti, appelsiini, banaani, omena, viinirypäle;213;10.7;0.2;0.5;0;1.5;0.5;0;0.8;9.8;3.0;0;2.7;0;0;4.1;0.7;0.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;22;15;0;0;0.1;15.0;22.8;0.3;0.7;154.2;11.4;2.3;5.8;16.4;0.1;<0.1;5.9;12.4;0.4;0.3;0.10;0.03;0.05;0;21.3;3.8;90.0;0;0.3;2.34
4017;Hedelmäsalaatti, sokeriton, appelsiini, banaani, omena, viinirypäle;192;9.4;0.2;0.5;0;1.5;0.5;0;0.8;8.5;3.0;0;2.7;0;0;2.8;0.7;0.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;22;15;0;0;0.1;15.1;22.9;0.3;0.6;154.7;11.4;2.3;5.8;16.4;0.1;<0.1;5.9;12.4;0.4;0.3;0.13;0.03;0.05;0;21.4;3.8;90.3;0;0.3;2.34
432;Hedelmäsalaattisäilyke, sokeriliemessä;367;19.2;0.4;0.8;0;1.1;0.3;0;0;19.2;1.9;0;1.9;0;0;15.4;0.2;0.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;19;13;0;0;0;8.5;7.3;0.4;3.0;89.0;6.7;4.1;10.4;12.0;0.2;0.4;3.5;5.0;0.4;0.4;0.04;0.06;0.06;0;18.0;21.7;309.8;0;0.8;0.80
33896;Hedelmäsose, 100 % hedelmää, makeuttamaton;243;11.6;0.2;0.9;0;1.9;0.5;0;1.2;10.3;2.6;0;2.2;0;0;5.6;0.8;1.2;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;55;7;0;0;0;15.0;7.0;0.6;1.0;228.4;16.6;2.0;5.0;21.0;0.3;<0.1;6.5;4.0;0.5;0.5;0.15;0.04;0.02;0;8.1;5.4;242.0;0;0.6;1.38
32150;Hedelmäsose, kotitekoinen lastenruoka;166;7.8;0.1;0.7;0;1.7;0.3;0;0.7;7.1;1.8;0;1.8;0;0;3.5;0.5;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;37;8;0;0;0;9.7;10.2;0.4;0.7;154.5;10.9;1.8;4.5;13.8;0.5;0.1;4.5;2.6;0.4;0.4;0.09;0.03;0.01;0;5.6;11.2;286.3;0;0.4;1.23
11469;Hedelmäsose, teollinen lastenruoka, tuotekeskiarvo;279;14.2;0.1;0.6;0;1.4;0.3;0;4.2;10.7;4.5;0;2.0;0;0;2.0;0.4;0.9;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;42;8;0;0;0;9.5;20.7;0.3;1.2;134.6;9.1;6.2;15.9;12.7;0.7;0.1;5.6;3.6;0.4;0.3;0.08;0.03;0.01;0;28.8;5.9;108.6;0;0.1;1.05
11092;Herajauhe, teollisuuden raaka-aine;1569;78.0;1.1;11.9;0;0;0;0;0;78.0;0;0;0;78.0;0;0;0;0;1.0;<0.1;0.3;0.6;0;0;<0.1;19;0;0;0;5.0;N/A;790.0;0.9;57.6;1980.0;150.0;1090.0;2777.3;770.0;11.0;1.2;200.0;22.0;4.3;0.9;0.61;2.40;0.50;2.4;5.0;15.0;0;0;0;0
